"Points:0","Points:1","Points:2","U_new:0","U_new:1","U_new:2","f"
0.096167,-0.087681,5.4136e-18,0.8,-0.8,0,0
0.0042426,0.0042426,-6.7886e-19,0.8,-0.8,0,0
0.094045,-0.089803,0.0051962,0.8,-0.8,0,0
0.0021213,0.0021213,0.0051962,0.8,-0.8,0,0
0.089803,-0.094045,0.0051962,0.8,-0.8,0,0
-0.0021213,-0.0021213,0.0051962,0.8,-0.8,0,0
0.087681,-0.096167,7.5061e-18,0.8,-0.8,0,0
-0.0042426,-0.0042426,1.4136e-18,0.8,-0.8,0,0
0.089803,-0.094045,-0.0051962,0.8,-0.8,0,0
-0.0021213,-0.0021213,-0.0051962,0.8,-0.8,0,0
0.094045,-0.089803,-0.0051962,0.8,-0.8,0,0
0.0021213,0.0021213,-0.0051962,0.8,-0.8,0,0
0.096167,-0.087681,5.4136e-18,0.8,-0.8,0,0
0.094045,-0.089803,0.0051962,0.8,-0.8,0,0
0.089803,-0.094045,0.0051962,0.8,-0.8,0,0
0.087681,-0.096167,7.5061e-18,0.8,-0.8,0,0
0.089803,-0.094045,-0.0051962,0.8,-0.8,0,0
0.094045,-0.089803,-0.0051962,0.8,-0.8,0,0
0.0021213,0.0021213,-0.0051962,0.8,-0.8,0,0
-0.0021213,-0.0021213,-0.0051962,0.8,-0.8,0,0
-0.0042426,-0.0042426,1.4136e-18,0.8,-0.8,0,0
-0.0021213,-0.0021213,0.0051962,0.8,-0.8,0,0
0.0021213,0.0021213,0.0051962,0.8,-0.8,0,0
0.0042426,0.0042426,-6.7886e-19,0.8,-0.8,0,0
0.14142,-0.14142,9.373e-18,0.8,-0.8,0,0
0.077782,-0.10607,8.3553e-18,0.8,-0.8,0,0
0.084853,-0.098995,-0.017321,0.8,-0.8,0,0
0.098995,-0.084853,-0.017321,0.8,-0.8,0,0
0.10607,-0.077782,1.3803e-18,0.8,-0.8,0,0
0.098995,-0.084853,0.017321,0.8,-0.8,0,0
0.084853,-0.098995,0.017321,0.8,-0.8,0,0
0.41617,-0.087681,5.4136e-18,0.8,-0.8,0,-7.7562e-42
0.32424,0.0042426,-6.7886e-19,0.8,-0.8,0,-7.7562e-42
0.41405,-0.089803,0.0051962,0.8,-0.8,0,-7.7562e-42
0.32212,0.0021213,0.0051962,0.8,-0.8,0,-7.7562e-42
0.4098,-0.094045,0.0051962,0.8,-0.8,0,-7.7562e-42
