The training reference is the 80-th snapshot.
Epoch [0]    ShiftNet loss = 6697.534602.
Epoch [1000]    ShiftNet loss = 6409.075517.
Epoch [2000]    ShiftNet loss = 5292.428548.
Epoch [3000]    ShiftNet loss = 4725.171766.
Epoch [4000]    ShiftNet loss = 4377.011875.
Epoch [5000]    ShiftNet loss = 4217.129155.
Epoch [6000]    ShiftNet loss = 4036.516927.
Epoch [7000]    ShiftNet loss = 3816.611269.
Epoch [8000]    ShiftNet loss = 3606.132467.
Epoch [9000]    ShiftNet loss = 2928.830384.
Epoch [10000]    ShiftNet loss = 1793.506072.
Epoch [11000]    ShiftNet loss = 1673.633245.
Epoch [12000]    ShiftNet loss = 1612.718369.
Epoch [13000]    ShiftNet loss = 1566.271868.
Epoch [14000]    ShiftNet loss = 1514.871890.
Epoch [15000]    ShiftNet loss = 1485.746448.
Epoch [16000]    ShiftNet loss = 1466.315119.
Epoch [17000]    ShiftNet loss = 1453.899428.
Epoch [18000]    ShiftNet loss = 1443.773554.
Epoch [19000]    ShiftNet loss = 1431.351243.
