The training reference is the 0-th snapshot.
Epoch [0]    ShiftNet loss = 1758.045263.
Epoch [1000]    ShiftNet loss = 1215.395712.
Epoch [2000]    ShiftNet loss = 726.689585.
Epoch [3000]    ShiftNet loss = 534.566732.
Epoch [4000]    ShiftNet loss = 150.961229.
Epoch [5000]    ShiftNet loss = 98.395205.
Epoch [6000]    ShiftNet loss = 74.532241.
Epoch [7000]    ShiftNet loss = 59.342473.
Epoch [8000]    ShiftNet loss = 51.134941.
Epoch [9000]    ShiftNet loss = 45.444522.
Epoch [10000]    ShiftNet loss = 41.494376.
Epoch [11000]    ShiftNet loss = 38.316947.
Epoch [12000]    ShiftNet loss = 36.938786.
Epoch [13000]    ShiftNet loss = 36.130549.
Epoch [14000]    ShiftNet loss = 36.270877.
Epoch [15000]    ShiftNet loss = 35.414244.
Epoch [16000]    ShiftNet loss = 36.355259.
Epoch [17000]    ShiftNet loss = 34.641207.
Epoch [18000]    ShiftNet loss = 34.655389.
Epoch [19000]    ShiftNet loss = 34.317280.
Epoch [20000]    ShiftNet loss = 33.955374.
Epoch [21000]    ShiftNet loss = 33.755253.
Epoch [22000]    ShiftNet loss = 34.042110.
Epoch [23000]    ShiftNet loss = 33.116840.
Epoch [24000]    ShiftNet loss = 34.238517.
Epoch [25000]    ShiftNet loss = 33.311055.
Epoch [26000]    ShiftNet loss = 32.547689.
Epoch [27000]    ShiftNet loss = 32.468820.
Epoch [28000]    ShiftNet loss = 32.282234.
Epoch [29000]    ShiftNet loss = 32.366578.
