The reference is the 50-th snapshot
Number of snapshots: 101
Full-order (snapshot) dimension: 2500

InterpNet loss starts at 0.009164
InterpNet loss at 99 epochs: 0.008152
Epoch [0]    ShiftNet loss = 60.790225 
Epoch [1]    ShiftNet loss = 60.099772 
Epoch [2]    ShiftNet loss = 58.892891 
Epoch [3]    Learning rate updated from 0.100000 to 0.075000

Epoch [3]    ShiftNet loss = 59.200277 
Epoch [4]    ShiftNet loss = 59.193867 
Epoch [5]    ShiftNet loss = 58.915310 
Epoch [6]    ShiftNet loss = 58.639355 
Epoch [7]    ShiftNet loss = 58.629847 
Epoch [8]    Learning rate updated from 0.075000 to 0.056250

Epoch [8]    ShiftNet loss = 58.734475 
Epoch [9]    ShiftNet loss = 58.546086 
Epoch [10]    ShiftNet loss = 58.282449 
Epoch [11]    ShiftNet loss = 58.093608 
Epoch [12]    ShiftNet loss = 57.981637 
Epoch [13]    ShiftNet loss = 57.822528 
Epoch [14]    ShiftNet loss = 57.511772 
Epoch [15]    ShiftNet loss = 57.039863 
Epoch [16]    ShiftNet loss = 56.514877 
Epoch [17]    ShiftNet loss = 55.991625 
Epoch [18]    ShiftNet loss = 55.146904 
Epoch [19]    ShiftNet loss = 53.987588 
Epoch [20]    ShiftNet loss = 52.896521 
Epoch [21]    ShiftNet loss = 51.200976 
Epoch [22]    ShiftNet loss = 50.485665 
Epoch [23]    ShiftNet loss = 49.361033 
Epoch [24]    ShiftNet loss = 48.844112 
Epoch [25]    Learning rate updated from 0.056250 to 0.042188

Epoch [25]    ShiftNet loss = 48.939220 
Epoch [26]    ShiftNet loss = 48.232760 
Epoch [27]    ShiftNet loss = 48.036771 
Epoch [28]    ShiftNet loss = 47.858078 
Epoch [29]    ShiftNet loss = 47.386034 
Epoch [30]    Learning rate updated from 0.042188 to 0.031641

Epoch [30]    ShiftNet loss = 47.425829 
Epoch [31]    ShiftNet loss = 46.768763 
Epoch [32]    ShiftNet loss = 46.545038 
Epoch [33]    ShiftNet loss = 46.262424 
Epoch [34]    ShiftNet loss = 45.848429 
Epoch [35]    ShiftNet loss = 45.649539 
Epoch [36]    ShiftNet loss = 45.172134 
Epoch [37]    ShiftNet loss = 44.929014 
Epoch [38]    ShiftNet loss = 44.713339 
Epoch [39]    ShiftNet loss = 43.996845 
Epoch [40]    Learning rate updated from 0.031641 to 0.023730

Epoch [40]    ShiftNet loss = 44.036298 
Epoch [41]    ShiftNet loss = 43.925337 
Epoch [42]    ShiftNet loss = 43.002479 
Epoch [43]    Learning rate updated from 0.023730 to 0.017798

Epoch [43]    ShiftNet loss = 43.089229 
Epoch [44]    ShiftNet loss = 42.102090 
Epoch [45]    ShiftNet loss = 41.968037 
Epoch [46]    ShiftNet loss = 41.713419 
Epoch [47]    ShiftNet loss = 41.114542 
Epoch [48]    Learning rate updated from 0.017798 to 0.013348

Epoch [48]    ShiftNet loss = 41.176774 
Epoch [49]    ShiftNet loss = 40.649211 
Epoch [50]    Learning rate updated from 0.013348 to 0.010011

Epoch [50]    ShiftNet loss = 40.677748 
Epoch [51]    ShiftNet loss = 40.317611 
Epoch [52]    Learning rate updated from 0.010011 to 0.007508

Epoch [52]    ShiftNet loss = 40.323630 
Epoch [53]    ShiftNet loss = 40.040924 
Epoch [54]    ShiftNet loss = 39.963198 
Epoch [55]    ShiftNet loss = 39.847175 
Epoch [56]    ShiftNet loss = 39.670394 
Epoch [57]    ShiftNet loss = 39.591849 
Epoch [58]    ShiftNet loss = 39.456205 
Epoch [59]    ShiftNet loss = 39.324996 
Epoch [60]    ShiftNet loss = 39.249422 
Epoch [61]    ShiftNet loss = 39.132972 
Epoch [62]    ShiftNet loss = 39.026113 
Epoch [63]    ShiftNet loss = 38.956842 
Epoch [64]    ShiftNet loss = 38.848794 
Epoch [65]    ShiftNet loss = 38.752769 
Epoch [66]    ShiftNet loss = 38.672617 
Epoch [67]    ShiftNet loss = 38.560229 
Epoch [68]    ShiftNet loss = 38.464412 
Epoch [69]    ShiftNet loss = 38.364494 
Epoch [70]    ShiftNet loss = 38.242807 
Epoch [71]    ShiftNet loss = 38.144764 
Epoch [72]    ShiftNet loss = 38.028613 
Epoch [73]    ShiftNet loss = 37.925133 
Epoch [74]    ShiftNet loss = 37.828080 
Epoch [75]    ShiftNet loss = 37.725162 
Epoch [76]    ShiftNet loss = 37.642172 
Epoch [77]    ShiftNet loss = 37.546215 
Epoch [78]    ShiftNet loss = 37.470235 
Epoch [79]    ShiftNet loss = 37.379749 
Epoch [80]    ShiftNet loss = 37.306241 
Epoch [81]    ShiftNet loss = 37.221067 
Epoch [82]    ShiftNet loss = 37.151266 
Epoch [83]    ShiftNet loss = 37.068461 
Epoch [84]    ShiftNet loss = 36.998916 
Epoch [85]    ShiftNet loss = 36.923450 
Epoch [86]    ShiftNet loss = 36.856381 
Epoch [87]    ShiftNet loss = 36.792122 
Epoch [88]    ShiftNet loss = 36.730058 
Epoch [89]    ShiftNet loss = 36.675315 
Epoch [90]    ShiftNet loss = 36.616652 
Epoch [91]    ShiftNet loss = 36.565343 
Epoch [92]    ShiftNet loss = 36.511317 
Epoch [93]    ShiftNet loss = 36.461510 
Epoch [94]    ShiftNet loss = 36.413791 
Epoch [95]    ShiftNet loss = 36.366078 
Epoch [96]    ShiftNet loss = 36.324892 
Epoch [97]    ShiftNet loss = 36.283284 
Epoch [98]    ShiftNet loss = 36.244593 
Epoch [99]    ShiftNet loss = 36.209645 
The learning rate has been updated 9 times
