The reference is the 75-th snapshot.

Number of snapshots(Ns): 101
Full-order (snapshot) dimension(Nh): 2500

InterpNet loss starts at 0.007977.
InterpNet loss after 19999 epochs: 0.000160
.Epoch [0]    ShiftNet loss = 48.649756.
     Learning rate updated from 0.100000.
to 0.075000     Learning rate updated from 0.075000.
to 0.056250     Learning rate updated from 0.056250.
to 0.042188     Learning rate updated from 0.042188.
to 0.031641     Learning rate updated from 0.031641.
to 0.023730Epoch [10]    ShiftNet loss = 37.729422.
Epoch [20]    ShiftNet loss = 37.047751.
     Learning rate updated from 0.023730.
to 0.017798     Learning rate updated from 0.017798.
to 0.013348     Learning rate updated from 0.013348.
to 0.010011Epoch [30]    ShiftNet loss = 36.958276.
     Learning rate updated from 0.010011.
to 0.007508     Learning rate updated from 0.007508.
to 0.005631     Learning rate updated from 0.005631.
to 0.004224Epoch [40]    ShiftNet loss = 36.954097.
Epoch [50]    ShiftNet loss = 36.936658.
Epoch [60]    ShiftNet loss = 36.934259.
Epoch [70]    ShiftNet loss = 36.933395.
Epoch [80]    ShiftNet loss = 36.932375.
Epoch [90]    ShiftNet loss = 36.931690.
Epoch [100]    ShiftNet loss = 36.931189.
Epoch [110]    ShiftNet loss = 36.930706.
Epoch [120]    ShiftNet loss = 36.930378.
Epoch [130]    ShiftNet loss = 36.929998.
Epoch [140]    ShiftNet loss = 36.929582.
Epoch [150]    ShiftNet loss = 36.929220.
Epoch [160]    ShiftNet loss = 36.929028.
Epoch [170]    ShiftNet loss = 36.928831.
Epoch [180]    ShiftNet loss = 36.928672.
Epoch [190]    ShiftNet loss = 36.928506.
Epoch [200]    ShiftNet loss = 36.928288.
Epoch [210]    ShiftNet loss = 36.928000.
Epoch [220]    ShiftNet loss = 36.927646.
Epoch [230]    ShiftNet loss = 36.927199.
Epoch [240]    ShiftNet loss = 36.926609.
Epoch [250]    ShiftNet loss = 36.925853.
Epoch [260]    ShiftNet loss = 36.924831.
Epoch [270]    ShiftNet loss = 36.923445.
Epoch [280]    ShiftNet loss = 36.921572.
Epoch [290]    ShiftNet loss = 36.918998.
Epoch [300]    ShiftNet loss = 36.915408.
Epoch [310]    ShiftNet loss = 36.910265.
Epoch [320]    ShiftNet loss = 36.902730.
Epoch [330]    ShiftNet loss = 36.891336.
Epoch [340]    ShiftNet loss = 36.873175.
Epoch [350]    ShiftNet loss = 36.842066.
Epoch [360]    ShiftNet loss = 36.788053.
Epoch [370]    ShiftNet loss = 36.692738.
Epoch [380]    ShiftNet loss = 36.538376.
Epoch [390]    ShiftNet loss = 36.297003.
Epoch [400]    ShiftNet loss = 35.960151.
Epoch [410]    ShiftNet loss = 35.538055.
Epoch [420]    ShiftNet loss = 35.164048.
Epoch [430]    ShiftNet loss = 34.842723.
Epoch [440]    ShiftNet loss = 34.507439.
Epoch [450]    ShiftNet loss = 34.264693.
Epoch [460]    ShiftNet loss = 34.059573.
Epoch [470]    ShiftNet loss = 33.887884.
Epoch [480]    ShiftNet loss = 33.736268.
Epoch [490]    ShiftNet loss = 33.599686.
     Learning rate updated from 0.004224.
to 0.003168     Learning rate updated from 0.003168.
to 0.002376     Learning rate updated from 0.002376.
to 0.001782Epoch [500]    ShiftNet loss = 33.520441.
     Learning rate updated from 0.001782.
to 0.001336     Learning rate updated from 0.001336.
to 0.001002     Learning rate updated from 0.001002.
to 0.000752Epoch [510]    ShiftNet loss = 33.467091.
Epoch [520]    ShiftNet loss = 33.453689.
Epoch [530]    ShiftNet loss = 33.439569.
Epoch [540]    ShiftNet loss = 33.426347.
Epoch [550]    ShiftNet loss = 33.413772.
Epoch [560]    ShiftNet loss = 33.401643.
Epoch [570]    ShiftNet loss = 33.390032.
Epoch [580]    ShiftNet loss = 33.378930.
Epoch [590]    ShiftNet loss = 33.368304.
Epoch [600]    ShiftNet loss = 33.358154.
Epoch [610]    ShiftNet loss = 33.348481.
Epoch [620]    ShiftNet loss = 33.339230.
Epoch [630]    ShiftNet loss = 33.330383.
Epoch [640]    ShiftNet loss = 33.321926.
Epoch [650]    ShiftNet loss = 33.313845.
Epoch [660]    ShiftNet loss = 33.306170.
Epoch [670]    ShiftNet loss = 33.298893.
Epoch [680]    ShiftNet loss = 33.291979.
Epoch [690]    ShiftNet loss = 33.285405.
Epoch [700]    ShiftNet loss = 33.279151.
Epoch [710]    ShiftNet loss = 33.273190.
Epoch [720]    ShiftNet loss = 33.267498.
Epoch [730]    ShiftNet loss = 33.262037.
Epoch [740]    ShiftNet loss = 33.256796.
Epoch [750]    ShiftNet loss = 33.251760.
Epoch [760]    ShiftNet loss = 33.246902.
Epoch [770]    ShiftNet loss = 33.242204.
Epoch [780]    ShiftNet loss = 33.237683.
Epoch [790]    ShiftNet loss = 33.233328.
Epoch [800]    ShiftNet loss = 33.229132.
Epoch [810]    ShiftNet loss = 33.225085.
Epoch [820]    ShiftNet loss = 33.221167.
Epoch [830]    ShiftNet loss = 33.217374.
Epoch [840]    ShiftNet loss = 33.213685.
Epoch [850]    ShiftNet loss = 33.210103.
Epoch [860]    ShiftNet loss = 33.206612.
Epoch [870]    ShiftNet loss = 33.203195.
Epoch [880]    ShiftNet loss = 33.199862.
Epoch [890]    ShiftNet loss = 33.196606.
Epoch [900]    ShiftNet loss = 33.193412.
Epoch [910]    ShiftNet loss = 33.190278.
Epoch [920]    ShiftNet loss = 33.187193.
Epoch [930]    ShiftNet loss = 33.184181.
Epoch [940]    ShiftNet loss = 33.181253.
Epoch [950]    ShiftNet loss = 33.178396.
Epoch [960]    ShiftNet loss = 33.175603.
Epoch [970]    ShiftNet loss = 33.172867.
Epoch [980]    ShiftNet loss = 33.170186.
Epoch [990]    ShiftNet loss = 33.167556.


The learning rate has been updated 17 times
